# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:3310:21089324 | A std(37.04,+1.0820,-1.6185) out(34.14,+1.0798,-1.6078) | B std(37.04,+1.0820,-1.6185) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:922:5871034 | A std(105.30,+0.7826,-0.6473) out(161.10,+0.7853,-0.6615) | B std(105.30,+0.7826,-0.6473) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3343:21302347 | A std(62.52,-1.0129,-1.5930) out(74.94,-1.0112,-1.5971) | B std(62.52,-1.0129,-1.5930) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:163:1032481 | A std(43.83,-0.4317,-2.1778) out(52.81,-0.4280,-2.1882) | B std(43.83,-0.4317,-2.1778) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3488:22228439 | A std(61.61,-0.8777,-2.2354) out(51.93,-0.8728,-2.2247) | B std(61.61,-0.8777,-2.2354) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3518:22414365 | A std(110.80,+0.7179,-0.9327) out(67.72,+0.7184,-0.9214) | B std(110.80,+0.7179,-0.9327) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3520:22427482 | A std(47.76,+1.0291,+2.3192) out(33.91,+1.0287,+2.2928) | B std(47.76,+1.0291,+2.3192) out(0.00,+0.0000,+0.0000) | cosA=+0.99986 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3511:22369549 | A std(824.92,+0.7550,-1.7180) out(96.76,+0.7536,-1.6903) | B std(582.24,+0.7555,-1.7173) out(0.00,+0.0000,+0.0000) | cosA=+0.99978 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:3616:23041783 | A std(59.01,-0.3560,+1.5564) out(83.58,-0.3546,+1.5723) | B std(59.01,-0.3560,+1.5564) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3251:20715433 | A std(148.12,-0.3967,-2.1738) out(193.41,-0.3929,-2.1312) | B std(148.12,-0.3967,-2.1738) out(0.00,+0.0000,+0.0000) | cosA=+0.99922 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3320:21156246 | A std(36.52,-0.8948,+1.5999) out(35.71,-0.8945,+1.5994) | B std(36.52,-0.8948,+1.5999) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3363:21431813 | A std(42.06,-0.2426,-1.6221) out(56.75,-0.2346,-1.5993) | B std(42.06,-0.2426,-1.6221) out(0.00,+0.0000,+0.0000) | cosA=+0.99972 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3452:21994312 | A std(78.71,+0.4474,-2.0458) out(70.25,+0.4511,-2.0355) | B std(78.71,+0.4474,-2.0458) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3528:22481756 | A std(163.45,-0.7479,-1.7043) out(147.66,-0.7466,-1.7060) | B std(163.45,-0.7479,-1.7043) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3568:22733352 | A std(37.91,-0.8943,+1.2522) out(31.00,-0.8890,+1.2726) | B std(37.91,-0.8943,+1.2522) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3256:20749743 | A std(103.26,+0.2146,-1.3611) out(78.65,+0.2118,-1.3701) | B std(103.26,+0.2146,-1.3611) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:337:2144881 | A std(90.04,-0.3280,+1.5396) out(223.02,-0.3281,+1.5621) | B std(90.04,-0.3280,+1.5396) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3384:21563617 | A std(38.11,-0.9954,-2.2353) out(38.50,-0.9971,-2.2384) | B std(38.11,-0.9954,-2.2353) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3434:21878603 | A std(42.83,+0.7725,+2.6623) out(38.67,-0.7684,-0.4810) | B std(42.83,-0.7725,-0.4793) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:3493:22255491 | A std(37.68,-1.1274,-1.1250) out(36.28,-1.1277,-1.1215) | B std(37.68,-1.1274,-1.1250) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3505:22334040 | A std(57.00,-0.2722,+1.5589) out(74.72,-0.2746,+1.5694) | B std(57.00,-0.2722,+1.5589) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1092:6953970 | A std(75.05,-0.4110,-1.4035) out(48.42,-0.4114,-1.3795) | B std(75.05,-0.4110,-1.4035) out(0.00,+0.0000,+0.0000) | cosA=+0.99976 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3307:21069438 | A std(82.80,+0.7485,+2.4933) out(49.08,+0.7383,+2.4692) | B std(82.80,+0.7485,+2.4933) out(0.00,+0.0000,+0.0000) | cosA=+0.99980 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3417:21770613 | A std(50.52,+0.2173,-1.6008) out(50.08,+0.2256,-1.5993) | B std(50.52,+0.2173,-1.6008) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3281:20906976 | A std(61.26,-1.1528,+1.2981) out(53.32,-1.1535,+1.3078) | B std(61.26,-1.1528,+1.2981) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3929:25034818 | A std(171.41,-0.4859,-0.7276) out(216.11,-0.4779,-0.7179) | B std(171.41,-0.4859,-0.7276) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3968:25283102 | A std(86.07,-0.1891,-1.6115) out(110.89,-0.1929,-1.6226) | B std(86.07,-0.1891,-1.6115) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4047:25785636 | A std(37.30,+0.9225,-2.1607) out(91.69,+0.9109,-2.1006) | B std(37.30,+0.9225,-2.1607) out(0.00,+0.0000,+0.0000) | cosA=+0.99911 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3787:24129358 | A std(72.25,-0.5894,-0.8442) out(72.92,-0.5863,-0.8494) | B std(72.25,-0.5894,-0.8442) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3841:24477549 | A std(68.65,-0.4634,-0.4604) out(60.54,-0.4665,-0.4703) | B std(68.65,-0.4634,-0.4604) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3773:24044589 | A std(65.03,-0.9884,-1.5410) out(51.67,-0.9870,-1.5492) | B std(65.03,-0.9884,-1.5410) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3934:25067430 | A std(46.92,+0.3428,-0.8419) out(50.73,+0.3360,-0.8520) | B std(46.92,+0.3428,-0.8419) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3955:25198880 | A std(60.57,-0.8433,-2.7963) out(56.73,-0.8446,-2.7939) | B std(60.57,-0.8433,-2.7963) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4053:25825775 | A std(141.03,-0.2822,-0.9060) out(141.26,-0.2822,-0.9080) | B std(141.03,-0.2822,-0.9060) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4048:25795760 | A std(127.48,-0.8472,-0.8409) out(72.75,-0.8377,-0.8267) | B std(127.48,-0.8472,-0.8409) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3862:24607621 | A std(44.55,+0.7689,-1.5217) out(22.48,+0.7790,-1.4494) | B std(44.55,+0.7689,-1.5217) out(0.00,+0.0000,+0.0000) | cosA=+0.99846 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4057:25851671 | A std(70.60,-0.3314,-1.2502) out(95.41,-0.3345,-1.2343) | B std(70.60,-0.3314,-1.2502) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:3901:24860541 | A std(68.04,-0.9664,-1.5359) out(25.91,-0.9650,-1.5877) | B std(68.04,-0.9664,-1.5359) out(0.00,+0.0000,+0.0000) | cosA=+0.99941 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4031:25687254 | A std(40.00,+1.0249,-1.5688) out(35.98,+1.0225,-1.5831) | B std(40.00,+1.0249,-1.5688) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:369:2349962 | A std(58.76,+0.3042,-2.4044) out(52.41,+0.3015,-2.4082) | B std(58.76,+0.3042,-2.4044) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:271:1724715 | A std(123.11,-0.2000,-2.3217) out(93.77,-0.2018,-2.3284) | B std(123.11,-0.2000,-2.3217) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1139:7255068 | A std(39.54,-0.3572,-1.8004) out(46.60,-0.3597,-1.8089) | B std(39.54,-0.3572,-1.8004) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:395:2512551 | A std(37.28,+0.3028,-1.4481) out(25.67,+0.3275,-1.4919) | B std(37.28,+0.3028,-1.4481) out(0.00,+0.0000,+0.0000) | cosA=+0.99885 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4294:27363199 | A std(113.25,+0.7551,-1.2958) out(78.97,+0.7540,-1.3111) | B std(113.25,+0.7551,-1.2958) out(0.00,+0.0000,+0.0000) | cosA=+0.99993 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4204:26791856 | A std(142.02,+0.6738,-1.5877) out(144.37,+0.6731,-1.5845) | B std(142.02,+0.6738,-1.5877) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4220:26888886 | A std(168.29,+0.8671,-2.3562) out(96.34,+0.8787,-2.3434) | B std(168.29,+0.8671,-2.3562) out(0.00,+0.0000,+0.0000) | cosA=+0.99992 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4437:28274589 | A std(55.05,-0.1216,+1.8444) out(120.90,-0.1187,+1.8675) | B std(55.05,-0.1216,+1.8444) out(0.00,+0.0000,+0.0000) | cosA=+0.99973 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4095:26096233 | A std(247.10,-0.7296,-1.4123) out(37.24,-0.7341,-1.3401) | B std(236.99,-0.7295,-1.4119) out(0.00,+0.0000,+0.0000) | cosA=+0.99842 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:4151:26451625 | A std(61.07,+0.8071,-1.8317) out(85.82,+0.8063,-1.8172) | B std(61.07,+0.8071,-1.8317) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4202:26778696 | A std(100.06,+0.7872,-1.5361) out(161.91,+0.7877,-1.5471) | B std(100.06,+0.7872,-1.5361) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4367:27825721 | A std(242.09,+0.5559,+1.7023) out(362.02,+0.5515,+1.6986) | B std(242.09,+0.5559,+1.7023) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4433:28247056 | A std(61.73,+0.8665,+2.1835) out(108.93,+0.8556,+2.1593) | B std(61.73,+0.8665,+2.1835) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:477:3038628 | A std(149.01,-0.7540,-0.9139) out(646.49,-0.7625,-0.8907) | B std(149.01,-0.7540,-0.9139) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4147:26425170 | A std(75.60,+0.7448,-2.4875) out(73.86,+0.7455,-2.4875) | B std(75.60,+0.7448,-2.4875) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4181:26644638 | A std(35.06,+0.7065,-1.6274) out(31.85,+0.7065,-1.6137) | B std(35.06,+0.7065,-1.6274) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4432:28240949 | A std(67.48,+0.0622,+0.8799) out(75.27,+0.0550,+0.8783) | B std(67.48,+0.0622,+0.8799) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1187:7560122 | A std(65.97,-0.3895,-0.4806) out(61.72,-0.3929,-0.4844) | B std(65.97,-0.3895,-0.4806) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1195:7613388 | A std(54.19,+0.9448,-2.4150) out(100.26,+0.9408,-2.4372) | B std(54.19,+0.9448,-2.4150) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4141:26387532 | A std(43.67,-0.4478,-1.6596) out(32.56,-0.4484,-1.6227) | B std(43.67,-0.4478,-1.6596) out(0.00,+0.0000,+0.0000) | cosA=+0.99944 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4253:27099120 | A std(101.13,-0.4659,-1.1425) out(109.69,-0.4656,-1.1464) | B std(101.13,-0.4659,-1.1425) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:554:3524672 | A std(104.29,-0.7760,-1.3188) out(124.14,-0.7818,-1.3234) | B std(104.29,-0.7760,-1.3188) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4409:28097453 | A std(35.02,+0.7587,-1.6060) out(47.32,+0.7594,-1.5810) | B std(35.02,+0.7587,-1.6060) out(0.00,+0.0000,+0.0000) | cosA=+0.99982 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4178:26623344 | A std(66.03,+0.8009,+1.5386) out(53.94,+0.7859,+1.5510) | B std(66.03,+0.8009,+1.5386) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4335:27626453 | A std(192.85,-0.8673,-0.7120) out(499.81,-0.8754,-0.7333) | B std(192.85,-0.8673,-0.7120) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4349:27713848 | A std(165.55,+0.4465,-0.2596) out(184.62,+0.4471,-0.2624) | B std(165.55,+0.4465,-0.2596) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:572:3641464 | A std(69.18,-0.4142,-0.3046) out(46.54,-0.4140,-0.2743) | B std(69.18,-0.4142,-0.3046) out(0.00,+0.0000,+0.0000) | cosA=+0.99961 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:595:3790896 | A std(159.14,-0.7225,-2.7652) out(205.85,-0.7241,-2.7712) | B std(159.14,-0.7225,-2.7652) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4466:28459811 | A std(72.09,+1.2876,+0.6921) out(69.14,+1.2873,+0.6910) | B std(72.09,+1.2876,+0.6921) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4230:26951735 | A std(49.92,-0.2258,-1.4402) out(43.06,-0.2250,-1.4298) | B std(49.92,-0.2258,-1.4402) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:977:6220897 | A std(54.89,+0.7064,-2.2982) out(46.40,+0.7063,-2.2910) | B std(54.89,+0.7064,-2.2982) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4188:26687319 | A std(36.55,+0.8514,-2.4434) out(5.24,+0.8424,+3.0440) | B std(36.36,-0.8513,+0.7027) out(0.00,+0.0000,+0.0000) | cosA=-0.84076 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:4256:27119520 | A std(398.56,+0.6842,-2.4700) out(1775.20,+0.6841,-2.4620) | B std(398.56,+0.6842,-2.4700) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4324:27550602 | A std(75.05,+0.4260,+1.5341) out(89.10,+0.4238,+1.5407) | B std(75.05,+0.4260,+1.5341) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4393:27993510 | A std(52.24,+0.8246,-0.8871) out(38.65,+0.8215,-0.9084) | B std(52.24,+0.8246,-0.8871) out(0.00,+0.0000,+0.0000) | cosA=+0.99987 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4402:28047908 | A std(412.05,-0.2771,+1.5863) out(1451.36,-0.2757,+1.5807) | B std(412.05,-0.2773,+1.5863) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1060:6749780 | A std(30.36,-0.3690,-1.8717) out(22.29,-0.3739,-1.8131) | B std(30.36,-0.3690,-1.8717) out(0.00,+0.0000,+0.0000) | cosA=+0.99849 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4837:30821788 | A std(75.61,-0.9729,-1.2198) out(68.17,-0.9735,-1.2203) | B std(75.61,-0.9729,-1.2198) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4552:29008453 | A std(34.56,-1.0278,+1.3223) out(37.05,-1.0221,+1.3142) | B std(34.56,-1.0278,+1.3223) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4542:28939807 | A std(90.65,+0.3801,-1.3285) out(25.35,+0.3807,-1.4317) | B std(90.65,+0.3801,-1.3285) out(0.00,+0.0000,+0.0000) | cosA=+0.99538 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4826:30752387 | A std(181.40,-0.3533,-0.9935) out(312.51,-0.3539,-1.0019) | B std(181.40,-0.3533,-0.9935) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1091:6949212 | A std(46.32,+0.3917,-0.7930) out(23.88,+0.3881,-0.8615) | B std(46.32,+0.3917,-0.7930) out(0.00,+0.0000,+0.0000) | cosA=+0.99798 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:1117:7113172 | A std(85.21,+0.7484,-0.7730) out(65.94,+0.7425,-0.7840) | B std(85.21,+0.7484,-0.7730) out(0.00,+0.0000,+0.0000) | cosA=+0.99995 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4563:29078096 | A std(66.26,-1.5391,-1.2323) out(70.46,-1.5385,-1.2342) | B std(66.26,-1.5391,-1.2323) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4633:29525937 | A std(61.57,+0.7140,-1.5221) out(43.07,+0.7177,-1.5492) | B std(61.57,+0.7140,-1.5221) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4710:30013153 | A std(163.64,-0.4130,-0.5897) out(147.97,-0.4125,-0.5948) | B std(163.64,-0.4130,-0.5897) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4746:30245724 | A std(107.59,-0.4402,-0.4886) out(87.68,-0.4387,-0.4834) | B std(107.59,-0.4402,-0.4886) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4516:28775929 | A std(75.13,+0.2160,-2.0404) out(95.63,+0.2247,-2.0470) | B std(75.13,+0.2160,-2.0404) out(0.00,+0.0000,+0.0000) | cosA=+0.99994 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:459:2922945 | A std(68.28,-0.6616,-1.1563) out(67.71,-0.6602,-1.1550) | B std(68.28,-0.6616,-1.1563) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4517:28783513 | A std(44.03,+0.4257,-2.3843) out(45.09,+0.4241,-2.3837) | B std(44.03,+0.4257,-2.3843) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4762:30344687 | A std(37.53,+1.0500,-1.6074) out(41.75,+1.0484,-1.6157) | B std(37.53,+1.0500,-1.6074) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:871:5548852 | A std(46.51,+0.7172,-1.5915) out(35.47,+0.7211,-1.6182) | B std(46.51,+0.7172,-1.5915) out(0.00,+0.0000,+0.0000) | cosA=+0.99977 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4611:29379932 | A std(152.34,-0.4129,-1.2812) out(90.18,-0.4155,-1.2670) | B std(152.34,-0.4129,-1.2812) out(0.00,+0.0000,+0.0000) | cosA=+0.99991 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4644:29592861 | A std(35.03,+0.3954,-1.6105) out(26.71,+0.4120,-1.5751) | B std(35.03,+0.3954,-1.6105) out(0.00,+0.0000,+0.0000) | cosA=+0.99935 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4502:28688708 | A std(57.50,+1.0820,-1.5631) out(55.07,+1.0831,-1.5674) | B std(57.50,+1.0820,-1.5631) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4551:28998305 | A std(82.17,+0.2996,-1.8010) out(56.64,+0.3032,-1.7853) | B std(82.17,+0.2996,-1.8010) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4621:29446084 | A std(62.16,-1.1060,-1.8353) out(36.09,-1.1083,-1.8656) | B std(62.16,-1.1060,-1.8353) out(0.00,+0.0000,+0.0000) | cosA=+0.99984 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:325:2070322 | A std(63.44,-0.4200,-1.3985) out(44.64,-0.4201,-1.4251) | B std(63.44,-0.4200,-1.3985) out(0.00,+0.0000,+0.0000) | cosA=+0.99970 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:909:5790908 | A std(122.00,+0.5327,-1.3139) out(171.32,+0.5282,-1.3058) | B std(122.00,+0.5327,-1.3139) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4722:30090931 | A std(71.44,-0.0647,+0.5200) out(87.03,-0.0623,+0.5110) | B std(71.44,-0.0647,+0.5200) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4726:30118100 | A std(57.52,+0.7787,+1.5447) out(46.27,+0.7869,+1.5626) | B std(57.52,+0.7787,+1.5447) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4772:30411612 | A std(76.74,+1.0063,-0.7624) out(84.64,+1.0041,-0.7603) | B std(76.74,+1.0063,-0.7624) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4822:30727845 | A std(139.55,+0.1868,-1.4216) out(124.60,+0.1887,-1.4260) | B std(139.55,+0.1868,-1.4216) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4831:30786978 | A std(84.90,-0.7288,-0.7521) out(67.21,-0.7281,-0.7433) | B std(84.90,-0.7288,-0.7521) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4605:29345277 | A std(203.96,+0.4393,-2.6955) out(77.43,+0.4461,-2.7269) | B std(201.30,+0.4397,-2.7002) out(0.00,+0.0000,+0.0000) | cosA=+0.99969 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=0
1:759:4832277 | A std(50.13,-0.1493,-0.6794) out(25.24,-0.1328,-0.7600) | B std(50.13,-0.1493,-0.6794) out(0.00,+0.0000,+0.0000) | cosA=+0.99669 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:4840:30842125 | A std(347.75,+0.1635,-0.2115) out(599.29,+0.1626,-0.2082) | B std(347.75,+0.1635,-0.2115) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:5275:33613480 | A std(52.40,+0.8822,-2.2277) out(43.54,+0.8855,-2.2158) | B std(52.40,+0.8822,-2.2277) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
