# run:lumi:event | A: std(pt,eta,phi) out(pt,eta,phi) | B: std(pt,eta,phi) out(pt,eta,phi) | cosA dt ndof_ok pair_cosmic cand_dup
1:9063:57754602 | A std(62.22,-1.0293,-1.2478) out(41.75,-1.0282,-1.2698) | B std(62.22,-1.0293,-1.2478) out(0.00,+0.0000,+0.0000) | cosA=+0.99990 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9290:59204131 | A std(107.49,+0.0965,-0.7986) out(241.03,+0.1006,-0.7845) | B std(107.49,+0.0965,-0.7986) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9171:58441796 | A std(90.17,-0.3083,-0.7658) out(134.69,-0.3067,-0.7813) | B std(90.17,-0.3083,-0.7658) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8973:57180171 | A std(49.70,+0.1452,-1.8329) out(47.77,+0.1445,-1.8278) | B std(49.70,+0.1452,-1.8329) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9000:57354453 | A std(127.77,+0.4276,-2.6079) out(105.09,+0.4263,-2.6171) | B std(127.77,+0.4276,-2.6079) out(0.00,+0.0000,+0.0000) | cosA=+0.99996 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9000:57356294 | A std(49.58,-0.3317,-2.2991) out(47.09,-0.3317,-2.2925) | B std(49.58,-0.3317,-2.2991) out(0.00,+0.0000,+0.0000) | cosA=+0.99998 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9047:57655013 | A std(71.46,-0.4164,+1.7733) out(72.37,-0.4151,+1.7742) | B std(71.46,-0.4164,+1.7733) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9279:59134646 | A std(104.06,-0.3893,+0.7378) out(138.67,-0.4036,+0.7287) | B std(104.06,-0.3893,+0.7378) out(0.00,+0.0000,+0.0000) | cosA=+0.99988 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9280:59139568 | A std(53.23,+0.6096,-1.2208) out(33.83,+0.6100,-1.2631) | B std(53.23,+0.6096,-1.2208) out(0.00,+0.0000,+0.0000) | cosA=+0.99937 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9103:58009322 | A std(99.18,+0.3932,-1.4164) out(143.07,+0.3951,-1.4243) | B std(99.18,+0.3932,-1.4164) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9156:58349499 | A std(41.23,-0.9120,-0.7382) out(65.19,-0.9174,-0.7586) | B std(41.23,-0.9120,-0.7382) out(0.00,+0.0000,+0.0000) | cosA=+0.99989 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9174:58463261 | A std(44.90,-0.3489,-2.3641) out(42.54,-0.3525,-2.3560) | B std(44.90,-0.3489,-2.3641) out(0.00,+0.0000,+0.0000) | cosA=+0.99997 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:8983:57243099 | A std(47.73,+0.9395,-2.3488) out(74.55,+0.9449,-2.3727) | B std(47.73,+0.9395,-2.3488) out(0.00,+0.0000,+0.0000) | cosA=+0.99986 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9218:58740298 | A std(34.40,-0.2722,-2.1386) out(65.61,-0.2834,-2.0881) | B std(34.40,-0.2722,-2.1386) out(0.00,+0.0000,+0.0000) | cosA=+0.99876 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9384:59804092 | A std(134.00,+0.3165,-1.5715) out(278.23,+0.3201,-1.5857) | B std(134.00,+0.3165,-1.5715) out(0.00,+0.0000,+0.0000) | cosA=+0.99990 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9533:60751421 | A std(43.42,-1.0186,-2.1844) out(37.79,-1.0169,-2.1831) | B std(43.42,-1.0186,-2.1844) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9588:61098141 | A std(110.26,+0.7543,-2.4654) out(82.75,+0.7541,-2.4593) | B std(110.26,+0.7543,-2.4654) out(0.00,+0.0000,+0.0000) | cosA=+0.99999 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
1:9558:60908634 | A std(125.90,+0.4630,-0.3783) out(128.74,+0.4619,-0.3781) | B std(125.90,+0.4630,-0.3783) out(0.00,+0.0000,+0.0000) | cosA=+1.00000 dt=+nan ndof_ok=-1 pair_cosmic=0 cand_dup=1
