# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:11211:71444182  inner=+1.00000  outer=-0.99179  zero=0  dt=-51.492  ndof_ok=0  lead(206.80,-0.7075,-0.3933)  sub(145.38,+0.5534,+2.7349)
1:11060:70480015  inner=+1.00000  outer=-0.96856  zero=0  dt=-34.968  ndof_ok=0  lead(65.22,-0.7527,-1.2191)  sub(12.84,+0.5936,+1.6553)
1:11265:71785820  inner=+1.00000  outer=-0.99997  zero=0  dt=-28.191  ndof_ok=1  lead(220.74,+0.2813,-1.4676)  sub(210.92,-0.2881,+1.6789)
1:11664:74333432  inner=+0.99999  outer=-1.00000  zero=0  dt=-47.564  ndof_ok=1  lead(587.14,+0.3364,+1.0559)  sub(152.20,-0.3340,-2.0873)
1:11758:74927597  inner=+1.00000  outer=-0.99006  zero=0  dt=-59.607  ndof_ok=0  lead(15.77,-0.8275,-0.5106)  sub(548.83,+0.8055,+2.8206)
1:11694:74520605  inner=+1.00000  outer=-0.99985  zero=0  dt=-42.216  ndof_ok=1  lead(200.14,+0.1872,+0.1450)  sub(277.65,-0.1868,-2.9791)
1:11694:74525439  inner=+1.00000  outer=-0.99978  zero=0  dt=-40.564  ndof_ok=1  lead(10248.47,+0.2048,-2.6459)  sub(112.44,-0.2241,+0.4861)
1:11942:76101166  inner=+1.00000  outer=-0.99154  zero=0  dt=-33.647  ndof_ok=0  lead(41.50,+0.7392,-1.6601)  sub(134.49,-0.8961,+1.4014)
1:11951:76159576  inner=+1.00000  outer=-0.99958  zero=0  dt=-44.689  ndof_ok=1  lead(80.14,-1.0068,-2.2666)  sub(8654.76,+1.0122,+0.8304)
1:12203:77768674  inner=+1.00000  outer=-0.95545  zero=0  dt=-56.213  ndof_ok=1  lead(202.46,+1.2143,-2.1271)  sub(6.28,-1.1435,+1.5472)
1:227:1443746  inner=+0.99999  outer=-0.99997  zero=0  dt=-40.416  ndof_ok=1  lead(354.29,+0.9214,-2.1629)  sub(476.12,-0.9160,+0.9698)
1:1777:11322127  inner=+1.00000  outer=-1.00000  zero=0  dt=-53.812  ndof_ok=1  lead(271.39,-0.8089,+2.0040)  sub(396.57,+0.8059,-1.1367)
1:2028:12919073  inner=+1.00000  outer=-0.99994  zero=0  dt=-30.483  ndof_ok=1  lead(362.95,+0.5881,-1.1282)  sub(251.79,-0.5894,+2.0261)
1:1026:6534190  inner=+1.00000  outer=-0.99998  zero=0  dt=-52.349  ndof_ok=0  lead(202.33,+0.3535,-2.4878)  sub(437.93,-0.3477,+0.6566)
1:1818:11583143  inner=+1.00000  outer=-1.00000  zero=0  dt=-28.939  ndof_ok=1  lead(436.40,+0.7992,-0.4023)  sub(200.44,-0.7975,+2.7372)
1:1719:10951839  inner=+1.00000  outer=-0.99732  zero=0  dt=-36.945  ndof_ok=1  lead(3513.94,+0.9682,-0.7050)  sub(411.26,-1.0823,+2.4515)
1:1658:10564747  inner=+0.99999  outer=-0.99997  zero=0  dt=-38.939  ndof_ok=1  lead(176.22,-0.8307,-0.6760)  sub(4985.26,+0.8407,+2.4648)
1:1707:10873242  inner=+1.00000  outer=-0.99982  zero=0  dt=-44.300  ndof_ok=0  lead(279.09,-0.3400,-1.6267)  sub(6166.03,+0.3326,+1.5336)
1:1129:7188821  inner=+0.99999  outer=-0.99999  zero=0  dt=-47.423  ndof_ok=1  lead(289.19,+0.2232,+2.6648)  sub(217.91,-0.2267,-0.4771)
1:1961:12495703  inner=+1.00000  outer=-0.99631  zero=0  dt=-45.982  ndof_ok=0  lead(98.04,+0.3292,-0.4013)  sub(5452.78,-0.2399,+2.7370)
1:2205:14049135  inner=+1.00000  outer=-0.98969  zero=0  dt=-42.096  ndof_ok=0  lead(306.07,-0.9053,-0.6937)  sub(15.87,+0.9211,+2.6555)
1:2226:14181494  inner=+1.00000  outer=-0.99996  zero=0  dt=-52.977  ndof_ok=1  lead(166.03,-0.8699,+1.4818)  sub(358.78,+0.8829,-1.6591)
1:2097:13362525  inner=+1.00000  outer=-0.99995  zero=0  dt=-37.634  ndof_ok=1  lead(228.82,-0.5983,+0.9367)  sub(235.99,+0.5886,-2.1990)
1:2176:13863113  inner=+0.99999  outer=-0.99995  zero=0  dt=-34.922  ndof_ok=1  lead(154.44,+0.2922,-0.5185)  sub(164.45,-0.2919,+2.6333)
1:2202:14027843  inner=+1.00000  outer=-0.99688  zero=0  dt=-36.176  ndof_ok=0  lead(256.14,+0.7054,-2.9496)  sub(36.05,-0.6816,+0.0962)
1:825:5255896  inner=+1.00000  outer=-0.99991  zero=0  dt=-26.082  ndof_ok=1  lead(348.56,+0.2870,-2.2659)  sub(163.95,-0.2823,+0.8891)
1:2263:14420037  inner=+1.00000  outer=-0.99714  zero=0  dt=-62.530  ndof_ok=0  lead(34.80,-0.8580,-1.7611)  sub(313.94,+0.9500,+1.3226)
1:130:824757  inner=+1.00000  outer=-1.00000  zero=0  dt=-56.283  ndof_ok=1  lead(218.60,+0.8083,+2.1619)  sub(240.62,-0.8056,-0.9776)
1:196:1246226  inner=+1.00000  outer=-0.99881  zero=0  dt=-48.287  ndof_ok=1  lead(136.86,-0.7541,-0.7912)  sub(855.33,+0.8059,+2.3123)
1:2124:13532341  inner=+1.00000  outer=-0.99730  zero=0  dt=-43.717  ndof_ok=1  lead(57.52,+0.4514,-2.7959)  sub(450.88,-0.4527,+0.4268)
1:2134:13598300  inner=+1.00000  outer=-0.89684  zero=0  dt=-18.918  ndof_ok=0  lead(364.25,-0.9730,+1.0840)  sub(12.60,+0.5052,-1.6955)
1:2160:13759969  inner=+1.00000  outer=-0.99990  zero=0  dt=-61.242  ndof_ok=1  lead(70.77,+0.9698,+0.3060)  sub(63.97,-0.9908,-2.8391)
1:974:6203322  inner=+0.99999  outer=-0.99993  zero=0  dt=-38.247  ndof_ok=1  lead(224.49,+0.7090,-1.0930)  sub(121.53,-0.7181,+2.0367)
1:2172:13835856  inner=+1.00000  outer=-0.99999  zero=0  dt=-63.105  ndof_ok=1  lead(4635.93,+0.9347,+1.1706)  sub(2755.98,-0.9321,-1.9650)
1:2251:14342457  inner=+1.00000  outer=-0.99669  zero=0  dt=-68.237  ndof_ok=0  lead(22.95,+0.9210,-1.9921)  sub(114.24,-0.9251,+1.2681)
1:2336:14884242  inner=+0.99999  outer=-0.99794  zero=0  dt=-38.510  ndof_ok=1  lead(168.00,+0.0928,+2.5725)  sub(89.58,-0.1505,-0.5982)
1:2557:16294759  inner=+0.99999  outer=-0.99652  zero=0  dt=-47.348  ndof_ok=1  lead(287.20,+0.0937,+2.0620)  sub(38.52,-0.0981,-1.1633)
1:2657:16928945  inner=+1.00000  outer=-0.95908  zero=0  dt=-52.203  ndof_ok=1  lead(52.03,-1.0185,-1.6566)  sub(6.93,+1.1015,+1.0259)
1:2714:17294174  inner=+1.00000  outer=-0.93748  zero=0  dt=-59.162  ndof_ok=0  lead(208.43,-0.7474,-0.6255)  sub(221.64,+0.3371,+2.5054)
1:357:2271621  inner=+1.00000  outer=-0.89348  zero=0  dt=-55.598  ndof_ok=0  lead(283.40,-0.9387,-2.7839)  sub(4.15,+0.9432,-0.3377)
1:2815:17936671  inner=+1.00000  outer=-0.97652  zero=0  dt=-44.297  ndof_ok=1  lead(136.90,+0.1854,-1.5697)  sub(187.23,+0.0322,+1.5555)
1:2480:15798996  inner=+0.99999  outer=-0.99784  zero=0  dt=-68.602  ndof_ok=1  lead(34.21,-1.0159,+0.7467)  sub(83.91,+1.0033,-2.2935)
1:2494:15888718  inner=+1.00000  outer=-0.99925  zero=0  dt=-37.936  ndof_ok=1  lead(146.03,+0.8304,-1.6686)  sub(269.84,-0.7785,+1.4710)
1:2607:16613507  inner=+0.99999  outer=-0.93976  zero=0  dt=-31.682  ndof_ok=1  lead(510.40,+0.4436,-2.7770)  sub(179.49,-0.0823,+0.3967)
1:2484:15829850  inner=+0.99999  outer=-0.99817  zero=0  dt=-38.554  ndof_ok=1  lead(51.28,+0.1524,+1.1316)  sub(687.57,-0.1412,-2.0702)
1:2797:17823128  inner=+1.00000  outer=-0.85887  zero=0  dt=-8.918  ndof_ok=0  lead(237.36,-0.1347,-2.9576)  sub(14.25,-0.3496,-0.0681)
1:162:1031764  inner=+1.00000  outer=-0.99603  zero=0  dt=-33.696  ndof_ok=1  lead(218.25,+0.7663,-0.9113)  sub(157.81,-0.8874,+2.2222)
1:2682:17091705  inner=+1.00000  outer=-0.98939  zero=0  dt=-12.443  ndof_ok=0  lead(215.97,-0.9639,-2.1731)  sub(4538.49,+1.2007,+1.0059)
1:3044:19397206  inner=+1.00000  outer=-0.99987  zero=0  dt=-56.405  ndof_ok=1  lead(103.04,-0.7117,+1.3438)  sub(207.04,+0.7135,-1.8183)
1:3082:19637761  inner=+1.00000  outer=-0.99810  zero=0  dt=-40.920  ndof_ok=1  lead(713.25,+1.0436,-2.7094)  sub(847.21,-1.1449,+0.4474)
1:3221:20526791  inner=+1.00000  outer=-0.99803  zero=0  dt=-31.489  ndof_ok=0  lead(1063.23,-0.9891,-1.3295)  sub(407.98,+1.0876,+1.7967)
1:3227:20560307  inner=+1.00000  outer=-0.98408  zero=0  dt=-32.562  ndof_ok=1  lead(11.38,-0.8587,-0.9182)  sub(272.84,+0.8600,+1.9743)
1:2863:18244072  inner=+0.99999  outer=-0.99997  zero=0  dt=-41.282  ndof_ok=1  lead(249.37,-0.4268,-2.5062)  sub(470.35,+0.4226,+0.6283)
1:3153:20093652  inner=+1.00000  outer=-1.00000  zero=0  dt=-53.898  ndof_ok=1  lead(127.03,+1.9139,-1.8903)  sub(160.94,-1.9152,+1.2603)
1:3021:19251236  inner=+1.00000  outer=-0.99672  zero=0  dt=-55.535  ndof_ok=0  lead(282.86,+0.8238,-2.1274)  sub(27.80,-0.8410,+0.9048)
1:3217:20500788  inner=+1.00000  outer=-1000.00000  zero=1  dt=-62.662  ndof_ok=0  lead(302.72,-0.9476,-1.8509)  sub(0.00,+0.0000,+0.0000)
1:2878:18335317  inner=+1.00000  outer=-0.99996  zero=0  dt=-52.035  ndof_ok=1  lead(553.83,+0.8465,+2.7607)  sub(558.62,-0.8414,-0.3691)
1:2931:18678166  inner=+1.00000  outer=-1000.00000  zero=1  dt=-34.864  ndof_ok=1  lead(112.13,-0.7969,-1.1631)  sub(0.00,+0.0000,+0.0000)
