# run:lumi:event  inner_cosA  outer_cosA  zero  dt(outer up-lo)  ndof_ok  lead_out(pt,eta,phi)  sub_out(pt,eta,phi)
1:7911:50416258  inner=+0.99999  outer=-0.99607  zero=0  dt=-52.228  ndof_ok=1  lead(22.71,-0.8087,-2.5821)  sub(748.90,+0.8756,+0.6615)
1:7934:50561608  inner=+1.00000  outer=-0.99996  zero=0  dt=-72.725  ndof_ok=1  lead(122.86,+1.0954,+1.0395)  sub(235.50,-1.0906,-2.0885)
1:8000:50983575  inner=+1.00000  outer=-0.99999  zero=0  dt=-42.852  ndof_ok=1  lead(878.29,+0.3009,-1.3834)  sub(162.93,-0.3022,+1.7543)
1:1446:9210982  inner=+1.00000  outer=-0.99996  zero=0  dt=-33.234  ndof_ok=1  lead(343.74,-0.7119,-0.1992)  sub(395.93,+0.7169,+2.9315)
1:8101:51621773  inner=+1.00000  outer=-0.99997  zero=0  dt=-65.517  ndof_ok=1  lead(445.22,-0.9926,+1.9213)  sub(4578.54,+0.9933,-1.2328)
1:7837:49939677  inner=+1.00000  outer=-0.99973  zero=0  dt=-34.090  ndof_ok=1  lead(183.97,-0.7416,-1.1872)  sub(309.33,+0.7340,+1.9253)
1:7888:50268052  inner=+1.00000  outer=-0.88683  zero=0  dt=-87.761  ndof_ok=0  lead(269.47,-0.7627,-1.1480)  sub(13.81,+0.3269,+1.6478)
1:645:4105933  inner=+0.99999  outer=-0.99998  zero=0  dt=-50.837  ndof_ok=1  lead(235.59,-0.7545,+1.0579)  sub(98.69,+0.7599,-2.0764)
1:8070:51427292  inner=+0.99999  outer=-0.99314  zero=0  dt=-27.505  ndof_ok=1  lead(61.54,+0.2877,-2.7608)  sub(20.66,-0.3023,+0.2594)
1:7841:49965019  inner=+1.00000  outer=-0.99981  zero=0  dt=-51.629  ndof_ok=1  lead(269.10,+0.8752,+0.3138)  sub(360.59,-0.8948,-2.8087)
1:8044:51261913  inner=+1.00000  outer=-0.97460  zero=0  dt=-64.951  ndof_ok=1  lead(207.00,-0.6157,+1.4975)  sub(34.87,+0.8889,-1.5382)
1:7881:50224961  inner=+1.00000  outer=-0.99578  zero=0  dt=-33.189  ndof_ok=1  lead(76.65,-0.8054,-2.1717)  sub(436.20,+0.9306,+0.9400)
1:8058:51350983  inner=+0.99998  outer=-0.99990  zero=0  dt=-34.915  ndof_ok=1  lead(285.27,+0.1200,-0.6588)  sub(1666.58,-0.1139,+2.4957)
1:8115:51714190  inner=+1.00000  outer=-0.98842  zero=0  dt=-44.353  ndof_ok=0  lead(246.47,+0.9787,-1.7292)  sub(14.92,-0.9704,+1.1817)
1:1290:8215991  inner=+1.00000  outer=-0.99975  zero=0  dt=-67.636  ndof_ok=1  lead(87.21,-1.2139,+1.4001)  sub(331.94,+1.2057,-1.7816)
1:8174:52090502  inner=+0.99999  outer=-0.99651  zero=0  dt=-46.252  ndof_ok=1  lead(191.42,-0.1996,+2.7670)  sub(36.96,+0.1905,-0.4592)
1:8193:52208297  inner=+1.00000  outer=-0.99790  zero=0  dt=-59.957  ndof_ok=1  lead(90.54,-1.0238,-1.1942)  sub(117.95,+1.1259,+1.9194)
1:8314:52982163  inner=+0.99999  outer=-0.99999  zero=0  dt=-45.800  ndof_ok=1  lead(386.56,+0.8099,-1.0764)  sub(176.59,-0.8040,+2.0630)
1:1312:8356096  inner=+0.99998  outer=-0.99991  zero=0  dt=-33.674  ndof_ok=1  lead(378.54,-0.1255,-1.9414)  sub(167.13,+0.1251,+1.2138)
1:1368:8717186  inner=+0.99999  outer=-0.99897  zero=0  dt=-37.806  ndof_ok=1  lead(63.38,+0.0626,-0.8354)  sub(718.81,-0.0520,+2.3505)
1:1179:7510936  inner=+1.00000  outer=-0.99953  zero=0  dt=-48.572  ndof_ok=1  lead(2036.29,+0.7013,+0.6780)  sub(156.35,-0.6909,-2.5006)
